content,score,clean_content
"Tambahkan detail detailnya dong, kayak penggunaan de/het (sama kayak the) dalam bahasa belanda, dll. Karena jadi sulit untuk jawab soal yang bagian translate, bingung juga. Trus ada bug dimana gambarnya itu gak ada animasinya, padahal di settings udah dinyalain, jadinya kayak kurang rame gitu. Lalu ini... Ada xp boost tapi pakai timer 15 menit (tergantung mungkin) tapi gabisa dihentikan timernya padahal lagi gamau belajar, jadinya xp boost 15 menit itu gak kepakai dan kebuang sia sia :)",3,detail kayak dehet bahasa belanda sulit translate bingung bug gambar animasi settings dinyalain ramai xp boost timer menit gantung henti timernya ajar buang sia
Untuk Duolingo terima kasih 👌sudah membantu saya dalam BHS inggris tetapi ada satu masalahnya nih yaitu aplikasi nya kadang bug pada saat pembelajaran jadinya kita yang mau belajar ini tidak bagus. Jadi untuk Duolingo permantap lagi lah aplikasinya dan jangan ada bug 😁😁 supaya kita yang belajar ini nyaman 😌,5,terima kasih bantu bhs inggris aplikasi kadang bug ajar bagus mantap nyaman
"Ini kok makin dibuka apknya makin ngeselin ya. Awal awal bagus tpi pas udh lama pake jdi suka error' sendiri gitu . Kadang habis nyelesain soalkan muncul iklan ya nah biasa lah gratisan tapi ini setelah iklan layar nya malah gelap gak bisa dipencet lagi , jadi harus kluar masuk apk terus menerus tiap kali ada iklan gitu terus. Dan ini audionya suka hilang, jawaban yang aku cantumkan yang seharusnya benar malah salah, pas vn suara itu suaraku malah gak ketangkep padahal udh teriak. Dipebaiki lagi",2,buka apknya ngeselin bagus pas suka error kadang habis nyelesain muncul iklan gratis layar gelap pencet kluar masuk aplikasi kali audio hilang cantum salah vn ketangkep teriak
Duolingo belajar yang sangat baguss untuk saya yang berusia 9 thn say ingin belajar bahasa inggris karena agar bisa pergi² hampir semua negara bisa memakai inggris jadi saya tertarik untuk belajar dari dualingo sangat bagus tapi saat say jawab dengan salah yang belum ya itu di gantung menjadi saya salah yang sebelum nya saya di situ bingg mmu ?? tapi tetap saya bisa lewati 🌈😺😺,5,ajar baguss usia sayang bahasa inggris pergi2 negara tarik dualingo bagus salah gantung situ bingg mmu
"Salut sih ini apk kita belajar bahasa secara gratis meskipun ada fitur berbayar yang lebih spektakuler, ini sangat bermanfaat bagi saya yang sedang mencoba bahasa asing dan gratis tapi andai kalau bahasa jepang ke bahasa Indonesia pasti lebih bagus lagi dan tolong adakan fitur salin text/translate, karena ketika kita mendapat komentar dari negara lain kita bisa mengetahui apa yang mereka ucapkan. Org arab komen jdi gk paham. semoga di read sama pihak duolingo tentang hal ini😁 Thanks Duolingo",5,salut aplikasi ajar bahasa gratis fitur bayar spektakuler manfaat coba asing andai jepang bagus tolong adakan salin texttranslate komentar negara arab komen paham moga read terima kasih
"aku suka sangat membantu dan seruu bangettt, tingkatkan lagi fitur"" nya tolong adakan fitur untuk belajar simpel past tense dan yg lainnya di bahasa Inggris.terimakasih Duolingo semoga kedepannya makin bagus",5,suka bantu seruu banget tingkat fitur tolong adakan ajar simpel past tense bahasa inggristerimakasih moga bagus
"meningkatkan belajar bahasa Inggris, walau ga selengkap seperti yg disekolah. Duolingo melatih pengucapan, mempelajari kata-kata baru, dan rumus kalimat walaupun rumusnya ga di jelasin.Eh tapi ga tau deh, karena saya ga mulai dari awal, mungkin dia ada jelasin rumus nya? dan Duolingo cukup membantu untuk saya yg ingin ada mata pelajaran B.Ing tiap hari. Thanks..",5,tingkat ajar bahasa inggris lengkap seko latih katakata rumus kalimat jelasineh jelasin bantu bing terima kasih
e aplikasi ini sangat membantu sih menurutku karena aku belajar di duolingo itu baru sebentar dan aku merasa kalau aku itu udh bisa ku kasih rating empat karena kalau bolos sekali aja nilainya kurang ok makasih duolingo,4,e aplikasi bantu ajar sebentar ku kasih rating bolos nilai ok terima
"Aplikasi ini sangat cocok untuk orang yang ingin belajar bahasa Inggris secara santai, mandiri, tetapi konsisten. Saya suka sekali, saya akan merekomendasikan aplikasi belajar ini kepada siswa-siswi saya.",5,aplikasi cocok ajar bahasa inggris santai mandiri konsisten suka rekomendasi siswasiswi
"Asik!! Belajar di sini bener² kaya main game, amazing.. ga nyesel deh unduh Duolingo buat belajar Bahasa² apapun. Duolingo juga sering banget ngingetin buat ""jangan lupa belajar"". Kita juga bisa belajar mendengar, menulis, mengucap. Ada beberapa tantangan dan kita juga bisa bersaing dg teman² yg ada di Duolingo loo.. Yuk buruan unduh, dan belajar😉😁.",5,asik ajar bener kaya main game amazing nyesel unduh bahasa2 banget ngingetin lupa dengar tulis tantang saing loo ayo buru
"Aplikasi ini membantu banget buat belajar bahasa baru, terus sering dikasih hadiah (kalo rajin latihan). Tiap minggu juga ada turnamen buat orang yang aktif buat latihan di Duolingo, jadi gak bakal bosen deh. Kalo kamu gak bisa jawab bukan salah Duolingo ya, itu berarti kamunya aja yang lolot.",5,aplikasi bantu banget ajar bahasa kasih hadiah rajin latih minggu turnamen aktif bosen salah lolot
Duolingo sangat membantu ku dalam bhs inggris atau bhs lain selain itu ada banyak pilihan bhs nya membantu ku banget ada banyak kata yang aku belum bisa menjadi mudah sekali aku sangat suka dan ada alasan lain aku beri lima bintang dan Duolingo sangat mudah sekali 👁️👄👁️ ..........@Dea my 👁️👄👁️✌️ hi,5,bantu ku bhs inggris banget mudah suka alas bintang my hai
"Makasih duolingo, dengan begini saya bisa melanjutkan pengetahuan bahasa inggris lagi secara menyenangkan, walau sedikit ada bug. Tapi abaikan saja untuk bug, yang penting seru dan mengedukasi 😁✨ Oh iya, bisa gak jika tambahin bahasa yang lain?",5,terima kasih bahasa inggris senang bug abai seru edukasi oh tambahin
"Aplikasi ini cukup mantaf untuk saya pakai dan cukup membantu saya berbicara bahasa inggris dan menambah pemahaman terbaru tentang bahasa inggris,dan juga pembelajaran nya yang seru dan unik,dimana lagi bisa belajar bahasa sambil rebahan tiduran pokoknya mantaf lah aplikasi ini,cocok buat yang mau belajar bahasa, dan juga ada pengingat setiap hari untuk belajar bahasa, dan juga bukan hanya belajar tentang tulisan bahasa belajar suara nya pun ada, mantaf lah ""sukses Duolingo""",5,aplikasi mantaf bantu bahasa inggris paham inggrisdan ajar seru unikdimana rebah tidur pokok inicocok tulis sukses
"Aplikasi nya sangat bagus untuk menambah pengetahuan tentang bahasa, saya memilih bahasa Inggris dikarenakan saya suka pelajaran bahasa Inggris untuk menambah pendidikan dan evaluasi pengetahuan saya. sekian aplikasi yang sangat berpendidikan. Terus berkembang Duolingo. ❤❤",5,aplikasi bagus bahasa inggris suka ajar didik evaluasi sekian kembang
"app nya bagus bangett! ngebantu aku buat belajar bahasa jepang, sama korea, di app nya juga bisa belajar huruf korea ( hangeul ), dan huruf jepang ( hiragana, katakana, kanji ), disini juga kita bisa belajar banyak bahasa asing lain nya! so buat yang pengen belajar bahasa asing, aku saranin download app ini, bcs ini nge bantu banget.",5,app bagus bangett ngebantu ajar bahasa jepang korea huruf hangeul hiragana katakana kanji asing so saranin download bcs nge bantu banget
"Bener bener apk belajar bahasa terbaik krn meskipun gak bayar juga tetep bisa belajar bahasa dan nuga disini memudahkan banget karena kita bisa belajar banyak banget bahasa, dan bahasa yang sudah jarang dipakai sekalipun tetep ada. Jadi saya kasih bintang lima boleh lahh",5,aplikasi ajar bahasa bayar tetep nuga mudah banget jarang kasih bintang lahh
"terimakasih atas bimbingan belajar nya, ini sangat berguna sangat rekomendasi banget untuk belajar bahasa bahasa asing, saya juga baru beberapa bulan langsung merasa mengerti(cepet) mengerti nya,.... overall yah ini sangat rekomendasi banget deh buat kalian yg mw bimbingan bahasa Inggris atau bahasa asing lain nya sekali lagi terimakasih ini sangat baik dan 👍",5,terimakasih bimbing ajar rekomendasi banget bahasa asing langsung mengerticepet erti overall yah now watching inggris
Duolingo ini sangat bagus bisa melatih anak bahasa Inggris ini juga bisa pasang wadget di layar utama seru banget kita juga bisa belajar ngomong bahasa Inggris bisa bikin karakter sendiri dan ada juga tantangan seruuuuuu banget cepetan download! 😃 I🇬🇧,5,bagus latih bahasa inggris pasang wadget layar utama seru banget ajar karakter tantang cepetan download
"Sangat suka dengan cara belajar di aplikasi ini. Namun terkadang ada yang kurang seperti pada tebak gambar pelayan itu waiter atau waitress karena gambar sama satu orang pelayan laki-laki tapi jawabannya kadang waiter kadang waitress, dan untuk ponsel di semua sesi disebut Cell phone namun ketika tebak gambar hanya disebut Cell. Namun begitu saya sangat suka belajar di Duolingo karena mempermudah saya mengulas kembali dan meningkatkan kemampuan bahasa Inggris saya.",4,suka ajar aplikasi terkadang tebak gambar layan waiter waitress lakilaki kadang telepon seluler sesi cell phone mudah ulas tingkat bahasa inggris
Suka sama aplikasi nya tapi yang bikin aku emosi itu kenapa harus dikasih nyawa soalnya kalau nyawanya habis harus nunggu apalagi lama banget nyawa nya full jadi tolong ya ga usah di kasih nyawa pasti aku suka banget. Tapi gapapa setiap aku belajar pasti ada peningkatan suka banget sama aplikasi nya,5,suka aplikasi emosi kasih nyawa habis banget full tolong ajar tingkat
"buat pelajarannya mudah banget menurut aku soalnya dia mudah di inget dan walaupun yg banyak yang sulit tp klo salah bisa ngulang lagi , seneng download Duolingo ini, soalnya bisa bikin anak kecil maupun yg dewasa atau tua mudah belajarnya 😊",5,ajar mudah banget inget sulit salah ngulang neng download dewasa tua
"Duolingo sangatlah bagus cocok digunakan untuk anak anak yang baru belajar bahasa baru❤️,dan saking senangnya belajar di duolingo hampir lupa untuk makan 🤭,duolingo adalah app yg bagus yang saya temukan😍😄",5,bagus cocok ajar bahasa barudan saking senang lupa makan app temu
"sangat sangat membantu sekali dalam proses belajar bahasa inggris,akan tetapi paket pembelian premium nya agak lumayan mahal jadi mungkin pembelajaran nya agak terbatas kalau tidak premium tapi masih sangat sangat bagus kok🤩",5,bantu proses ajar bahasa inggrisakan paket beli premium lumayan mahal batas bagus
"Sejauh ini duolingo menjadi guru terbaikku dalam mengajari bahasa luar negeri Karena ngak ada yang sebaik duolingo🥰, walau untuk gratisan tapi aku ngak memasalahkan dengan iklannya tapi karena perangkat ku memiliki ram kosong yang sangat sempit jadi kalau udah iklan frame rate hpku jadi menurun, semoga aja ada perbaikan performa untuk hp kelas bawah seperti punyaku ini👍",5,guru ajar bahasa negeri ngak gratis iklan perangkat ku milik ram kosong sempit frame rate hpku turun moga performa hp kelas
pelajaran nya bagus pelajaran nya selalu di perbarui dan gk ngebosenin tentunya. bisa ketemu teman baru juga dan tentu nya membantu dalam pendidikan aku. terimakasi duolingo,5,ajar bagus ngebosenin ketemu bantu didik terimakasi
"Aplikasi ini bagus bangettt.Jadi kalau mau belajar bahasa inggris atau bahasa yang lain itu pake aplikasi ini aja.Kayak, aplikasi ini itu gampang gitu belajarnya,terus mudah difahami,langsung bisa gitu.Udah deh fix aku kasih bintang 5",5,aplikasi bagus bangetjadi ajar bahasa inggris ajakayak gampang belajarnyaterus mudah difahamilangsung gituudah fix kasih bintang
"Terima kasih Duolingo! di aplikasi ini aku bisa belajar banyak kosa kata bahasa inggris 😉💯 Juga di aplikasi ini sangat seru dan menyenangkan! sehingga saat bermain tidak terlu bosan. Tapi saran pas kita baca buku cerita, dibuat gambar seperti komik supaya lebih semangat^⁠_⁠^",5,terima kasih aplikasi ajar kosa bahasa inggris seru senang main terlu bosan saran pas baca buku cerita gambar komik semangat
"sangattt bagus menurut saya karna tidam bikin jenuh tidak membuat bosan dan bertantangan mainnya. Aplikasi duolingo ini membuat saya sedikit demi sedikit bisa mengucapkan bisa mengetahui tentang bahasa yang saya pelajari dan paling saya suka dari apk ini adalah membuat orang yang menggunakannya menjadi tertantang untuk memainkannya, and kekurangan dari apk ini adalah ada iklannya walaupun jarang juga udah pokoknya banyak fositifnya kalo gak percaya download aja ya 😅 see youu gais",2,bagus tidam jenuh bosan tantang main aplikasi bahasa ajar suka and iklan jarang pokok fositifnya percaya download see youu gais
"aplikasi Duolingo sangat bagus dan sangat bermanfaat untuk belajar bahasa bahasa asing, bahkan bisa meningkatkan pendidikan dan meningkatkan kepercayaan diri anak/siswa-siswi, dan membuat pembelajaran lebih menyenangkan dan tidak membosankan, dan bisa buat pemula bahkan menengah, dan cocok untuk anak/siswa-siswi yang ambisius, karena di aplikasi Duolingo ada rangking yang membuat anak/siswa-siswi yang ambisius tidak menyerah bahkan mengejar rangking, Thanks Duolingo ☺💯",5,aplikasi bagus manfaat ajar bahasa asing tingkat didik percaya anaksiswasiswi senang bosan cocok ambisius rangking serah kejar terima kasih
"buat yang tidak bisa mempelajari bahasa inggris dengan mudah,kalian harus nyoba apk duolingo ini si,karna selain mudah di pahami,apk ini juga gratis hehe",5,ajar bahasa inggris mudahkalian nyoba aplikasi sikarna mudah pahamiapk gratis he
"saya suka belajar dengan cara begini. sangat membantu sekali ketika pelajaran diulang berkali-kali. semakin sering memainkan aplikasi ini, semakin lancar dalam berbicara, menulis,baca, dan mendengarkan kata dalam bahasa inggris dan bahasa lainnya. Disebabkan perulangan kata yang intens, membuat kita mudah beradaptasi untuk belajar. Aplikasi ini cocok untuk semua usia asal di atur saja keperuntukannya. Langganan pun murah. Dan worth lah buat saya pribadi.",5,suka ajar bantu ulang berkalikali main aplikasi lancar menulisbaca dengar bahasa inggris intens mudah adaptasi cocok usia atur langgan murah worth pribadi
Duolingo mohon untuk perekaman diperbaiki lagi. Kenapa sulit menangkap suara dengan benar. Padahal sudah bilang berkali kali selalu salah dan coba lagi.,3,mohon rekam sulit tangkap kali salah coba
"Lumayan membantu untuk ku, karena bisa belajar bahasa asing dengan seru, namun tetapi terkadang saat bermain ada bug², dan juga iklan selalu ada setiap pelajaran (kecuali untuk menambah hati, itu jarang²) tapi terkadang juga mengganggu saat bermain/belajarnya Sekian trimakasih.",4,lumayan bantu ku ajar bahasa asing seru terkadang main bug2 iklan kecuali hati jarang2 ganggu bermainbelajarnya sekian terima kasih
"Duolingo itu aplikasi yang tepat untuk belajar, walaupun untuk belajar tapi tetap seru karena dalam pembelajaran kita diberikan karakter karakter lucu yang akan menanyai kita. Appreciation for Duolingo, I like it and never makes me bored, thank you so much, I give ⭐⭐⭐⭐⭐",5,aplikasi ajar seru karakter lucu appreciation for like it and never makes me bored thank you so much give
"Pembelajarannya unik dan mudah untuk diikuti, cuma ketika salah gak ada penjelasan jadi kita harus liat kalimat sebelumnya supaya faham salah nya kenapa, dan teruntuk duolingo walaupun kalian bikin emosi pas salah jawab tapi makasih atas aplikasi yang hebat ini haha 😆. Saran kalo kalian kehabisan nyawa tapi gak mau bayar atau nunggu ikut aja latihan yang bisa nambah nyawa lumayan sekalian dapet exp karena dianggap latihan normal.",5,ajar unik mudah salah kalimat faham emosi pas terima kasih aplikasi hebat tertawa saran habis nyawa bayar latih nambah lumayan exp anggap normal
"Aplikasi yang bagus dan cocok untuk belajar bahasa asing secara mandiri dan gratis. Sayangnya ada beberapa kekurangan seperti pemakaian memori yang semakin hari semakin membesar dan ada beberapa konten LGBT di dalamnya. Kami orang dewasa mungkin bisa dengan mudah mengabaikannya, tetapi mau bagaimanapun itu tetap tidak pantas ditampilkan di aplikasi edukasi semacam ini, terlalu berbahaya apalagi jika dilihat oleh anak di bawah umur.",5,aplikasi bagus cocok ajar bahasa asing mandiri gratis sayang memori konten lgbt dewasa mudah abai tampil edukasi bahaya umur
Duolingo sangat hebat bisa belajar bahasa yang aku pelajari aku bisa sedikit dikit berlatih hafalan aku tidak akan meng hapus aplikasi ini karena duolingo sangat bagus belajar bahasa walau pun ada yang salah nulis pasti akan di ulangi kalau hati ku habis dan permata ku gak cukup beli aku bisa belajar lebih giat semangat Duolingo dan terimakasih duolingo yang pintar,5,hebat ajar bahasa dikit latih hafal meng hapus aplikasi bagus salah nulis ulang hati ku habis permata beli giat semangat terimakasih pintar
"Aplikasi ini bagus, kita bisa belajar bahasa dengan sistem seperti bermain game. Cuma mungkin kekurangan nya, saat kita hendak belajar bahasa selain bahasa Inggris itu translate nya pakai bahasa inggris(tidak bisa bahasa Indonesia). Mungkin kedepannya bisa jadi pertimbangan untuk developer agar ketika saya ingin belajar bahasa lain selain bahasa Inggris tolong terjemahan nya jangan bahasa Inggris. (Contoh Bahasa jepang - Indonesia)",4,aplikasi bagus ajar bahasa sistem main game inggris translate inggristidak timbang developer tolong terjemah contoh jepang
"Sebenernya aplikasi nya bagus bgttt, tp sangat disayangkan di pembelajaran bahasa inggris unit 8 (Describe past events, talk about relationships) konten pembelajaran nya menyinggung LBGT. Ini aplikasi edukasi dan sifat aplikasi nya global, kalau bisa tolong dihilangkan LGBT dari materi pembelajaran karena rasanya kurang pantas & membuat belajar jd tidak nyaman. Terima kasih",2,sebenernya aplikasi bagus banget sayang ajar bahasa inggris unit describe past events talk about relationships konten singgung lbgt edukasi sifat global tolong hilang lgbt materi nyaman terima kasih
"Seru banget!!!belajar jadi lebih seru dan lebih fokus aku sih rekomendasiin buat kalian yang mau belajar bahasa-bahasa atau ingin memperdalam pengetahuan kalian tetapi dengan cara yang menyenangkan,menurut ku ini menyenangkan makasih Duolingo",5,seru bangetbelajar fokus rekomendasiin ajar bahasabahasa menyenangkanmenurut ku senang terima kasih
"Balikkan duolingo seperti dulu... Sekarang kalau mau pakai unlimited heart kudu langganan, walau bisa di isi lagi tpi kan jadi ngga bisa konsisten dan buat ngejer XP pun jadi lebih lama. Sering bug waktu voice jdi salah terus. Jadi sering ada iklannya jugaa bikin ngga mood pas belajar bahasa",4,unlimited heart langgan isi konsisten ngejer xp bug voice salah iklan jugaa mood pas ajar bahasa
"Duolingo aplikasi yang bagus untuk belajar bahasa asing karena mudah dipahami dan menyenangkan, tapi sayangnya kenapa konten di dalam duolingo ada unsur LGBT sekarang tepatnya di dalam bagian cerita, sedih 😭 lebih baik hilangkan saja unsur-unsur mengganggu seperti itu, fokus ke hal yang wajar saja.",3,aplikasi bagus ajar bahasa asing mudah paham senang sayang konten unsur lgbt cerita sedih hilang unsurunsur ganggu fokus wajar
"duolingo sudah cukup baik, tetapi sering kali terjadi bug pada saat penyebutan kata yang sudah benar masih saja dikatakan salah dan kurang tepat. duolingo juga bagus karena bisa memilih berbagai bahasa yang ingin dipelajari, tetapi tetap saja saran saya duolingo harus memberi cara belajar yang lebih inovatif lagi karena menurut saya belajar di duolingo terkesan cukup membosankan. sekian dari saya, selebihnya duolingo sudah cukup baik dan memberi pengalaman belajar bahasa yang saya suka!",3,kali bug salah bagus bahasa ajar saran inovatif kes bosan sekian alam suka
Duolingo sangat membantu mengasah kemampuan berbahasa. Di duolingo kita dapat berlatih bahasa dengan bebas dan banyak pilihan bahasa yg diberikan. Penyajian latihan berbahasa yang sangat mudah dipahami dan dipelajari membuat kita yang sebagai pemula mampu beradaptasi dengan materi yang diberikan. Itu sebabnya saya menyukai aplikasi ini yang memiliki project project yang fleksibel dan amat sangat membantu. THANK YOU DUOLINGO!,5,bantu asah bahasa latih bebas saji mudah paham ajar adaptasi materi suka aplikasi milik project fleksibel thank you
"Aplikasinya bagus, oke, bisa buat belajar banyak bahasa secara bersamaan!! Tapi maaf saya beri bintang 4, karena setelah mengerjakan latihan² itu waktu mau saya submit malah lemot sekali, sudah saya tunggu selama 2 menit juga masih loading. Mohon perbaikannya!! Jadi kalau mau mengerjakan latihan² lain, saya harus keluar dari aplikasi dulu baru masuk lagi. Cukup merepotkan.",4,aplikasi bagus oke ajar bahasa maaf bintang latihan2 submit lemah otak menit loading mohon masuk repot
membantu banget ada latihan speaking nya juga saat ini belum nemu bug bantuu saya banget dlu saya sering dapet nilai b inggris di bawah 60 setelah pakai apk ini nilai nya bertambah dan sana sekali belum turun di bawah 89 makasii banget karena cara bicara saya berubah jadi lebih bagus Thank You Duolingo ⭐⭐⭐⭐⭐,5,bantu banget latih speaking nemu bug bantuu nilai b inggris aplikasi turun makasii ubah bagus thank you
"Aplikasi nya sangat bagus, saya merasa tertarik saat melihat iklan aplikasi ini, lalu saya mencoba mendownload nya dan ternyata aplikasi ini benar"" luar biasa, animasi dan cara pembelajaran sangat seru. Jujur berkat aplikasi ini saya menjadi semangat belajar banyak bahasa di dunia. Thanks DUOLINGO",5,aplikasi bagus tarik iklan coba mendownload nyata animasi ajar seru jujur berkat semangat bahasa dunia terima kasih
duolingo bagusss banget tapi saya kesulitan membagi waktu sy untuk latihan jadi sering kali terulang dari awal. itu bagus untuk menguji org agar konsisten tapi disatu sisi sulit kalau sedang sibuk :) gapapa sih beda org beda masalah tapi bintang 4 dlu ya terimakasih duolingo benar2 sangat membantu! ❤️,4,bagus banget sulit latih kali ulang uji konsisten sisi sibuk beda bintang terimakasih benar2 bantu
Bagus sekali mendukung mode berbayar dan mode gratis. Sangat membantu bagi kalangan yg kurang mampu. Tentu saja ada minusnya bagi yg mengunakan mode gratisan. Tetapi dengan adanya mode gratis ini dengan secara tidak langsung aplikasi ini memikirkan bahwa rakyat yg kurang mampu bisa belajar bahasa inggris juga.,5,bagus mode bayar gratis bantu kalang minus mengunakan langsung aplikasi pikir ajar bahasa inggris
Aplikasi ini sangat membantu untuk mempelajari bahasa. Terdapat banyak macam bahasa dan kamu bisa pilih sesuai kebutuhan. Fitur fiturnya sangat seru dan ketika belajar juga terasa seperti bermain. Dan yang pasti itu sangat menyenangkan. Ayo download dan kamu tidak akan menyesal.😊😊😊,5,aplikasi bantu ajar bahasa sesuai butuh fitur fiturnya seru asa main senang ayo download sesal
"Aplikasi ini sangat membantu untuk melatih skill bahasa asing saya. Dengan aplikasi ini saya lebih enjoy dalam belajar dan mempelajari kata-kata baru. Disekolah pun saya menjadi salah satu siswa yang pintar berbahasa Inggris, bahkan nilai bahasa Inggris saya selalu bagus. Thanks Duolingo!",4,aplikasi bantu latih skill bahasa asing enjoy ajar katakata seko salah siswa pintar inggris nilai bagus terima kasih
"luar biasa! dengan aplikasi ini, saya bisa mempelajari bahasa asing sebanyak yang saya inginkan dimana dan kapan saja. tidak perlu les mahal mahal, tak perlu tugas menumpuk seperti di sekolah juga. hanya perlu sering sering buka aplikasinya dan juga niat^^! gamenya yang menarik dan karakter karakter dengan suara unik membuat aplikasi ini semakin menarik.",5,aplikasi ajar bahasa asing les mahal tugas tumpuk sekolah buka niat gamenya tarik karakter unik
"Aplikasi yang sangat bagus, bisa belajar kosa kata bahasa inggris di setiap hari nya dengan mudah dan menyenangkan, dan bisa mengucapkan kata sesuai suara yg benar. tapi satu sisi kenapa ada percakapan seperti di sisipkan LGBT. itu sangat di sayangkan. tolong di hilangkan",5,aplikasi bagus ajar kosa bahasa inggris mudah senang sesuai sisi cakap sisip lgbt sayang tolong hilang
"Sudah bagus, tapi waktu belajar tiba tiba animasinya ato gambar orangnya gak gerak sama sekali, kek aneh aja biasa nya kek animasi gitu, dan gak waktu belajar doang tapi waktu udh selesai juga animasi nya gak gerak gitu jadi aku kasih nilai 4 dulu karena bug itu",4,bagus ajar animasi gambar gerak aneh selesai kasih nilai bug
"Saya kecewa gak bisa belajar di duolingo lagi, karena masalah jaringan ga mau terkoneksi aplikasinya sama jaringannya, padahal aplikasi ini enak banget buat belajar bahasa. Semenjak update kemaren tiba tiba jadi gini, secepatnya di perbaiki duolingo aku pengen belajar lagi.",2,kecewa ajar koneksi aplikasi enak banget bahasa semenjak update kemarin cepat
