clean_content,score,label
Duolingo sangat membantu ku dalam bhs inggris atau lain selain itu ada banyak pilihan nya banget kata yang aku belum bisa menjadi mudah sekali suka dan alasan beri lima bintang Dea my hi,5,positif
Makasih duolingo dengan begini saya bisa melanjutkan pengetahuan bahasa inggris lagi secara menyenangkan walau sedikit ada bug Tapi abaikan saja untuk yang penting seru dan mengedukasi Oh iya gak jika tambahin lain,5,positif
Aplikasi ini cukup mantaf untuk saya pakai dan membantu berbicara bahasa inggris menambah pemahaman terbaru tentang juga pembelajaran nya yang seru unik dimana lagi bisa belajar sambil rebahan tiduran pokoknya lah aplikasi cocok buat mau ada pengingat setiap hari bukan hanya tulisan suara pun sukses Duolingo,5,positif
Aplikasi nya sangat bagus untuk menambah pengetahuan tentang bahasa saya memilih Inggris dikarenakan suka pelajaran pendidikan dan evaluasi sekian aplikasi yang berpendidikan Terus berkembang Duolingo,5,positif
app nya bagus bangett ngebantu aku buat belajar bahasa jepang sama korea di juga bisa huruf hangeul dan hiragana katakana kanji disini kita banyak asing lain so yang pengen saranin download ini bcs nge bantu banget,5,positif
Bener bener apk belajar bahasa terbaik krn meskipun gak bayar juga tetep bisa dan nuga disini memudahkan banget karena kita banyak yang sudah jarang dipakai sekalipun ada Jadi saya kasih bintang lima boleh lahh,5,positif
terimakasih atas bimbingan belajar nya ini sangat berguna rekomendasi banget untuk bahasa asing saya juga baru beberapa bulan langsung merasa mengerti cepet overall yah deh buat kalian yg mw Inggris atau lain sekali lagi baik dan,5,positif
Duolingo ini sangat bagus bisa melatih anak bahasa Inggris juga pasang wadget di layar utama seru banget kita belajar ngomong bikin karakter sendiri dan ada tantangan seruuuuuu cepetan download I,5,positif
Sangat suka dengan cara belajar di aplikasi ini Namun terkadang ada yang kurang seperti pada tebak gambar pelayan itu waiter atau waitress karena sama satu orang laki tapi jawabannya kadang dan untuk ponsel semua sesi disebut Cell phone namun ketika hanya begitu saya sangat Duolingo mempermudah mengulas kembali meningkatkan kemampuan bahasa Inggris,4,positif
Suka sama aplikasi nya tapi yang bikin aku emosi itu kenapa harus dikasih nyawa soalnya kalau nyawanya habis nunggu apalagi lama banget full jadi tolong ya ga usah di kasih pasti suka Tapi gapapa setiap belajar ada peningkatan,5,positif
buat pelajarannya mudah banget menurut aku soalnya dia di inget dan walaupun yg banyak yang sulit tp klo salah bisa ngulang lagi seneng download Duolingo ini bikin anak kecil maupun dewasa atau tua belajarnya,5,positif
Duolingo sangatlah bagus cocok digunakan untuk anak yang baru belajar bahasa dan saking senangnya di duolingo hampir lupa makan adalah app yg saya temukan,5,positif
sangat membantu sekali dalam proses belajar bahasa inggris akan tetapi paket pembelian premium nya agak lumayan mahal jadi mungkin pembelajaran terbatas kalau tidak tapi masih bagus kok,5,positif
Sejauh ini duolingo menjadi guru terbaikku dalam mengajari bahasa luar negeri Karena ngak ada yang sebaik walau untuk gratisan tapi aku memasalahkan dengan iklannya karena perangkat ku memiliki ram kosong sangat sempit jadi kalau udah iklan frame rate hpku menurun semoga aja perbaikan performa hp kelas bawah seperti punyaku,5,positif
pelajaran nya bagus selalu di perbarui dan gk ngebosenin tentunya bisa ketemu teman baru juga tentu membantu dalam pendidikan aku terimakasi duolingo,5,positif
Aplikasi ini bagus bangettt Jadi kalau mau belajar bahasa inggris atau yang lain itu pake aplikasi aja Kayak gampang gitu belajarnya terus mudah difahami langsung bisa Udah deh fix aku kasih bintang 5,5,positif
Terima kasih Duolingo di aplikasi ini aku bisa belajar banyak kosa kata bahasa inggris Juga sangat seru dan menyenangkan sehingga saat bermain tidak terlu bosan Tapi saran pas kita baca buku cerita dibuat gambar seperti komik supaya lebih semangat _,5,positif
sangattt bagus menurut saya karna tidam bikin jenuh tidak membuat bosan dan bertantangan mainnya Aplikasi duolingo ini sedikit demi bisa mengucapkan mengetahui tentang bahasa yang pelajari paling suka dari apk adalah orang menggunakannya menjadi tertantang untuk memainkannya and kekurangan ada iklannya walaupun jarang juga udah pokoknya banyak fositifnya kalo gak percaya download aja ya see youu gais,2,negatif
aplikasi Duolingo sangat bagus dan bermanfaat untuk belajar bahasa asing bahkan bisa meningkatkan pendidikan kepercayaan diri anak siswa siswi membuat pembelajaran lebih menyenangkan tidak membosankan buat pemula menengah cocok yang ambisius karena di ada rangking menyerah mengejar Thanks,5,positif
buat yang tidak bisa mempelajari bahasa inggris dengan mudah kalian harus nyoba apk duolingo ini si karna selain di pahami juga gratis hehe,5,positif
saya suka belajar dengan cara begini sangat membantu sekali ketika pelajaran diulang berkali kali semakin sering memainkan aplikasi ini lancar dalam berbicara menulis baca dan mendengarkan kata bahasa inggris lainnya Disebabkan perulangan yang intens membuat kita mudah beradaptasi untuk Aplikasi cocok semua usia asal di atur saja keperuntukannya Langganan pun murah Dan worth lah buat pribadi,5,positif
Duolingo mohon untuk perekaman diperbaiki lagi Kenapa sulit menangkap suara dengan benar Padahal sudah bilang berkali kali selalu salah dan coba,3,netral
Lumayan membantu untuk ku karena bisa belajar bahasa asing dengan seru namun tetapi terkadang saat bermain ada bug² dan juga iklan selalu setiap pelajaran kecuali menambah hati itu jarang² tapi mengganggu belajarnya Sekian trimakasih,4,positif
Duolingo itu aplikasi yang tepat untuk belajar walaupun tapi tetap seru karena dalam pembelajaran kita diberikan karakter lucu akan menanyai Appreciation for I like it and never makes me bored thank you so much give,5,positif
Pembelajarannya unik dan mudah untuk diikuti cuma ketika salah gak ada penjelasan jadi kita harus liat kalimat sebelumnya supaya faham nya kenapa teruntuk duolingo walaupun kalian bikin emosi pas jawab tapi makasih atas aplikasi yang hebat ini haha Saran kalo kehabisan nyawa mau bayar atau nunggu ikut aja latihan bisa nambah lumayan sekalian dapet exp karena dianggap normal,5,positif
Aplikasi yang bagus dan cocok untuk belajar bahasa asing secara mandiri gratis Sayangnya ada beberapa kekurangan seperti pemakaian memori semakin hari membesar konten LGBT di dalamnya Kami orang dewasa mungkin bisa dengan mudah mengabaikannya tetapi mau bagaimanapun itu tetap tidak pantas ditampilkan aplikasi edukasi semacam ini terlalu berbahaya apalagi jika dilihat oleh anak bawah umur,5,positif
Duolingo sangat hebat bisa belajar bahasa yang aku pelajari sedikit dikit berlatih hafalan tidak akan meng hapus aplikasi ini karena duolingo bagus walau pun ada salah nulis pasti di ulangi kalau hati ku habis dan permata gak cukup beli lebih giat semangat terimakasih pintar,5,positif
Aplikasi ini bagus kita bisa belajar bahasa dengan sistem seperti bermain game Cuma mungkin kekurangan nya saat hendak selain Inggris itu translate pakai inggris tidak Indonesia Mungkin kedepannya jadi pertimbangan untuk developer agar ketika saya ingin lain tolong terjemahan jangan Contoh Bahasa jepang,4,positif
Sebenernya aplikasi nya bagus bgttt tp sangat disayangkan di pembelajaran bahasa inggris unit 8 Describe past events talk about relationships konten menyinggung LBGT Ini edukasi dan sifat global kalau bisa tolong dihilangkan LGBT dari materi karena rasanya kurang pantas membuat belajar jd tidak nyaman Terima kasih,2,negatif
Seru banget belajar jadi lebih seru dan fokus aku sih rekomendasiin buat kalian yang mau bahasa atau ingin memperdalam pengetahuan tetapi dengan cara menyenangkan menurut ku ini makasih Duolingo,5,positif
Balikkan duolingo seperti dulu Sekarang kalau mau pakai unlimited heart kudu langganan walau bisa di isi lagi tpi kan jadi ngga konsisten dan buat ngejer XP pun lebih lama Sering bug waktu voice jdi salah terus Jadi sering ada iklannya jugaa bikin mood pas belajar bahasa,4,positif
Duolingo aplikasi yang bagus untuk belajar bahasa asing karena mudah dipahami dan menyenangkan tapi sayangnya kenapa konten di dalam duolingo ada unsur LGBT sekarang tepatnya bagian cerita sedih lebih baik hilangkan saja mengganggu seperti itu fokus ke hal wajar,3,netral
duolingo sudah cukup baik tetapi sering kali terjadi bug pada saat penyebutan kata yang benar masih saja dikatakan salah dan kurang tepat juga bagus karena bisa memilih berbagai bahasa ingin dipelajari tetap saran saya harus memberi cara belajar lebih inovatif lagi menurut di terkesan membosankan sekian dari selebihnya pengalaman suka,3,netral
Duolingo sangat membantu mengasah kemampuan berbahasa Di duolingo kita dapat berlatih bahasa dengan bebas dan banyak pilihan yg diberikan Penyajian latihan yang mudah dipahami dipelajari membuat sebagai pemula mampu beradaptasi materi Itu sebabnya saya menyukai aplikasi ini memiliki project fleksibel amat THANK YOU DUOLINGO,5,positif
Aplikasinya bagus oke bisa buat belajar banyak bahasa secara bersamaan Tapi maaf saya beri bintang 4 karena setelah mengerjakan latihan² itu waktu mau submit malah lemot sekali sudah tunggu selama 2 menit juga masih loading Mohon perbaikannya Jadi kalau lain harus keluar dari aplikasi dulu baru masuk lagi Cukup merepotkan,4,positif
membantu banget ada latihan speaking nya juga saat ini belum nemu bug bantuu saya dlu sering dapet nilai b inggris di bawah 60 setelah pakai apk bertambah dan sana sekali turun 89 makasii karena cara bicara berubah jadi lebih bagus Thank You Duolingo,5,positif
Aplikasi nya sangat bagus saya merasa tertarik saat melihat iklan aplikasi ini lalu mencoba mendownload dan ternyata benar luar biasa animasi cara pembelajaran seru Jujur berkat menjadi semangat belajar banyak bahasa di dunia Thanks DUOLINGO,5,positif
duolingo bagusss banget tapi saya kesulitan membagi waktu sy untuk latihan jadi sering kali terulang dari awal itu bagus menguji org agar konsisten disatu sisi sulit kalau sedang sibuk gapapa sih beda masalah bintang 4 dlu ya terimakasih benar2 sangat membantu,4,positif
Bagus sekali mendukung mode berbayar dan gratis Sangat membantu bagi kalangan yg kurang mampu Tentu saja ada minusnya mengunakan gratisan Tetapi dengan adanya ini secara tidak langsung aplikasi memikirkan bahwa rakyat bisa belajar bahasa inggris juga,5,positif
Aplikasi ini sangat membantu untuk mempelajari bahasa Terdapat banyak macam dan kamu bisa pilih sesuai kebutuhan Fitur fiturnya seru ketika belajar juga terasa seperti bermain Dan yang pasti itu menyenangkan Ayo download tidak akan menyesal,5,positif
Aplikasi ini sangat membantu untuk melatih skill bahasa asing saya Dengan aplikasi lebih enjoy dalam belajar dan mempelajari kata baru Disekolah pun menjadi salah satu siswa yang pintar berbahasa Inggris bahkan nilai selalu bagus Thanks Duolingo,4,positif
luar biasa dengan aplikasi ini saya bisa mempelajari bahasa asing sebanyak yang inginkan dimana dan kapan saja tidak perlu les mahal tak tugas menumpuk seperti di sekolah juga hanya sering buka aplikasinya niat gamenya menarik karakter suara unik membuat semakin,5,positif
Aplikasi yang sangat bagus bisa belajar kosa kata bahasa inggris di setiap hari nya dengan mudah dan menyenangkan mengucapkan sesuai suara yg benar tapi satu sisi kenapa ada percakapan seperti sisipkan LGBT itu sayangkan tolong hilangkan,5,positif
Sudah bagus tapi waktu belajar tiba animasinya ato gambar orangnya gak gerak sama sekali kek aneh aja biasa nya animasi gitu dan doang udh selesai juga jadi aku kasih nilai 4 dulu karena bug itu,4,positif
Saya kecewa gak bisa belajar di duolingo lagi karena masalah jaringan ga mau terkoneksi aplikasinya sama jaringannya padahal aplikasi ini enak banget buat bahasa Semenjak update kemaren tiba jadi gini secepatnya perbaiki aku pengen,2,negatif
Aplikasi nya sangat bagus dan banyak pilihan juga untuk memelajari bahasa tapi duolingo terkadang iklan jadi mohon dikurangi tetapi aplikasi kok makanya mulai sekarang download ini agar anda bisa memahami berbagai dari inggris sampai dengan lain,5,positif
Assalamualaikum nama aku keyla Umurku 11 tahun Aku suka game ini Bisa belajar berbagai bahasa jadi bisa deh dirumah Cuman menurut yang menganggu harus pakai data Semoga devoloper mainnya offline kan enak Itu saja saran Makasih,5,positif
aplikasi belajar yang menurutku ini sangat bermanfaat sekali enaknya pake walaupun kita gapunya hati tak Terhingga bisa menambah nya itu dengan berlatih sehingga dapat mengingat materi sebelumnya,5,positif
Saya sudah 1 tahun lebih menggunakan Duolinggo dan cukup membantu untuk membentuk kebiasaan belajar bahasa Tolong banyak lagi akses dari indonesia pembayaran bagi yg streak mohon diberi diskon penguna setia,5,positif
Kok skrng ga bisa pake photo profile sih cuma bsa avatar kaya dulu Aplikasi yang bagus lebih lagi kalo belajar b jepang dengan translatenya indonesia biar bingung Karena inggrisnya jg masih latihan Terima kasih,3,netral
Refill hati nya lama dan xpny sangat sedikit Akhir2 ini juga lag banget kyk udh dipencet tapi gamau ke halaman yg di pencet Lalu bagian belajar yang utk suara suka ga berfungsi padahal saya sudah benar pengucapan Ini sebenarnya aplikasi apa Masa iya pakai untuk Sangat tidak memaksimalkan Orang mau jadi susah apalagi dibatasi Bodoh sekali Aplikasi sampah,1,negatif
Alhamdulillah game nya bagus ko untuk pemula saran develop tingkatkan lagi kenyamanan dan fasilitas pembantu agar apklikasi ini lebih perfek membuat orang minat mendownloadnya,4,positif
Please ini latihan buat dapet tambahan nyawa kok nggak bisa sih saya kan kaum mending langganan premuim nya mahal gems juga dapetnya dikit banget beli terus nyawanya lama 1 masak 4 jam itu kurang sama sisa harga mengesedih,4,positif
seru banget kalo belajar bahasa inggris mending disini aja gampang dan mudah dimengerti bagi anak² SD saya masih suka mata pelajaran terimakasih duolingo sudah mengajar yg kesusahan untuk,5,positif
Menurut ku duolinggo cocok untuk belajar bahasa asing seperti ada di aplikasi tapi sering terjadi iklan saat jadi saya sedikit terganggu,5,positif
Aku lebih suka jika ketika aku ingin belajar bahasa lain selain Inggris penutur nya bisa bahas Indonesia tidak hanya jadi yang tadinya Arab harus kan lama Terus Untuk lainnya udah bagus cepat menyerap sih cuma ya itu tadi kalo gk saja Cara mempelajari juga seru semoga di ubah,4,positif
aplikasi nya membantu banget bangus dan menyenangkan kayak permainan seru aku belajar b Inggris jadi asik ga bosen pokoknya berguna Makasih developer atas aplikasinya saya semangat,5,positif
Duolingo ini sangat membantu karena penjelasan nya jelas dan mudah dipahami Dan juga membuat belajar semakin seru bisa sambil bermain,5,positif
aplikasi ini sangat membantu dan mudah penggunaan nya Disini kita dapat belajar berbagai macam bahasa Metode pun menyenangkan,5,positif
lumayan lah aplikasi nya bagus walaupun agak susah tapi gk papa aku suka kok oh ya semoga ada update saya mau ditambah kan malaysia karena pengen banget mabar sama bestie ku yang dari dan dia bisa bahasa Indonesia maaf kalo jelas,5,positif
ini game buat pembelajaran sihh jg bnyk bgt bhsa dri negara manapun pilihannya belajar serasa main mn gratis lagi buruan download dn beri rating 5 biar duolingo lebih smgt bisa mengembangkan apk nya ayo bahasa brsma,5,positif
Bintang 4 dulu yaa soalnya itu ada beberapa kendala Seperti saat sedang menjawab tiba gak bisa pencet apa dan harus keluar terus mengulangi lagi Tapi lainnya udah bagus sih seru banget deh pokoknya,4,positif
Apk nya seru bgt buat belajar bahasa sangat cocok untuk saya yang suka malas karna kira tidak semenarik itu dan sekali karena apk ini jadi lebih sering lewat maupun buku Duolingo the best,5,positif
Aplikasi ini Bagus tapi udah bebrapa hari menggunakan aplikasi tiba animasinya rusak bisa ngak diperbaiki Udah di hapus memori,5,positif
Aku senang punya aplikasi ini dan gak nyesel download belajar Duolingo karena bakin aku jadi seru semangat nya untuk kasih bintang lima deh soalnya bagus vavorite Terima,5,positif
sangat membantu dan mudah di pelajari anak ku jd suka belajar Bhs inggris smnjak ada aplikasi ini kuis2 game sekedar saran untuk atau kuisnya tambahi dengan animasi2 gbr2,5,positif
lumayan bagus tapi pada pembelajaran pengucapan saat menggunakan voice kadang tidak terespon mungkin itu yang membuat sulit karena untuk orang bisa membayar hati aplikasi belajar dan salah maka akan berkurang dah,4,positif
Saya suka banget sama aplikasi ini Tapi mohon maaf kenapa harus ada pembelajaran yang bertemakan LGBT sangat disayangkan sekali menurut saya bahaya karena anak kecil juga bisa mengakses apk Seharusnya tidak memasukan unsur seperti dalam bidang pendidikan atau umum Mohon untuk diubah skrng kasih bintang 2 kalo emang udah bener2 baru ksh 5,2,negatif
Aplikasi duolingo sangat bagus dan bermanfaat untuk kita dalam belajar bahasa inggris maupun yang lainnya Fiturnya mudah dipahami menarik tentunya gratis,5,positif
saya sangat terbantu oleh aplikasi Duolingo yang memudahkan untuk mempelajari berbagai bahasa awalnya tidak suka sekarang berkat bisa dengan mudah Terimakasih,5,positif
Aku milih pelajaran b inggris dari awal karna emang pengen ngerasain pembelajaran duolingo level terkecil dan memuaskan banget ga bikin boring banyak fitur menarik yg kita tertarik terus buat lanjut belajar,5,positif
gilaa seru cok ternyata belajar di Duolingo tapi menurut ku kekurangan ada yaitu ketika kita salah koreksi nya kurang diperhatikan misal kenapa harus pakai have bukan has ya disitu sih selebihnya udh bagus bgt kok nyaman juga kalau,5,positif
aplikasinya bermanfaat banget buat kita yang memang ingin belajar bahasa asing sangat mudah digunakan dan dipahami setiap penjelasannya direkomendasikan 3,5,positif
aplikasi yang sangat bagus untuk belajar bahasa asing thanks developer sudah membuat ini berkat saya jadi bisa berbahasa inggris walaupun sedikit tapi berterima kasih kepada pokoknya the bestt,5,positif
aplikasi ini sangat membantu untuk belajar bahasa dan mudah dipahami bagi pemula tapi disini harus membayar mendapatkan SUPER DUOLINGO saya agak kecewa karena di HP tidak bisa Tetapi sudah bersyukur senang ada SEMANGAT,4,positif
Aplikasi belajar bahasa Inggris ini cukup bagus tapi tolong jangan terlalu banyak iklan ya soalnya mengganggu pembelajaran oh iya segitu aja ulasan saya terima kasih,4,positif
masyaallahh membantu banget untuk aku belajar bahasa Inggris dikarenakan metode pembelajaran nya sangat baik dan bagus kalian yang ingin inggris bisa langsung install duolingo akan meningkatkan skill berbicara,5,positif
Duolingo sangat cocok untuk anak yang masih belajar bhs Inggris saya berterima kasih pada developer karena telah membuat aplikasi menguntungkan ini kagum dengan animasi bagus dan tantangannya,5,positif
pembelajaran yang sangat bagus menyenangkan mudah dipahami membuat saya berani berbicara bahasa inggris tidak malu meningkatkan ketrampilan berbahasa ilmu bermanfaat terimakasih semoga barakah ilmunya Aamiin,5,positif
aplikasi sangat membantu memperdalam bahasa Inggris bagi pemula Sangat disarankan sih yg mau belajar B,5,positif
ini keren aku belajar bahasa mandarin dan sedikit paham game sangat berguna bagi yang anak saranin buat di donwload sih soalnya bagus bangett semoga gamenya lebih ditingkatkan supqya kami itu gak terlalu bosan belajarnya,5,positif
wowww aplikasi ini sangat membantu saya untuk belajar bahasa Inggris karena metode pembelajarannya tidak terlalu dipaksakan jadi kita bebas dan grafiknya juga suka membuat GK mudah bosan saat diaplikasi,3,netral
Aplikasinya sejauh ini cukup bagus dan rekomendasi banget buat yang mau belajar bahasa inggris mantep dah b5 aplikasinya masih inggrisnya semangattt,5,positif
aplikasi yang sangat membantu untuk belajar berbagai bahasa mudah dimengerti dan cara belajarnya dikemas dengan menarik seperti permainan kata tidak membuat bosan good job buat Dev nya karena sudah ini,5,positif
Ya menurutku game ini bagus bisa untuk kita yg mau belajar bahasa seperti Inggris dan lainya kalau saya pokoknya aplikasi seru tapi terkadang ada bug nya gpp mending cepetan kalian donwload,5,positif
sangat bagusss dan efektif untuk belajar banyak bahasa asing dari aplikasi ini terlebih saat menggunakan super duolingo thanks Duolingo,5,positif
aplikasinya sangat bagus cuman kalau ada 1 hari yg kelewat pasti harus bayar 200 permata jadi ku saranin makai aplikasi ini jangan terlalu sibuk karna kelamaan biasa bisa ngulang lagu dari awal,5,positif
Apk Duolingo nya bagus aku bisa belajar bahasa sambil bermain seru bangettt iklan paling cuma awalan donload kalau sering di buka nggak ad apk ini dapat mendukung pendidikan ku,5,positif
luar biasa aplikasi ini sangat baik untuk pemula yang ingin belajar bahasa Inggris mudah dan cepat dimengerti terimakasih banyak duolingo,5,positif
Ini dulu animasinya gerak loh kok sekarang ga Kangen duolingo yg pertama tanpa ada batasannya jadi sering maennya kek limitnya Jadi jarang deh klo pingin pun bayar,5,positif
bagus banget aplikasi nya tapi saya mau langsung bahasa lain ngga harus Inggris dulu gitu bisa yah walaupun jadi berjuang belajar demi,4,positif
kalo ada soal saya jawabnya sudah bener eh tapi gak bisa di check jadinya harus membuat jawabannya salah baru padahal jawaban benar tidak dan menunggu lama Accept sepertinya itu bug Tolong developer nya perbaiki yang seperti ini,4,positif
Komplain saya sih hanya perbedaan kata Inggris yang menggunakan s dan yg tidak saja seperti turtle turtles Tolong di perjelas setiap penggunaan teks nya itu harus dimana,3,netral
Salah satu aplikasi yang direkomendasikan untuk kalian mau mempelajari bahasa asing dengan cara menyenangkan karena sistem belajarnya seperti sedang bermain game adanya misi harian dapat diselesaikan,5,positif
aplikasinya membantu sekali tapi maaf aku kasih bintang 3 soalnya pas udah nyelesain tuh gabisa ngeliat nilai yang dapat loading terus padahal di update semoga bisa cepat perbaiki lagi yaaa,3,netral
aplikasi yang sangat berguna kalian harus coba cocok untuk pemula tampilan nya juga lucu dan ya bagus,5,positif
aplikasi nya bagus cuma kalau mau belajar bahasa lain selain Inggris itu jangan pake jelasinnya misal saya Jepang pasti soalnya jadinya terpaksa harus dulu selebihnya kok sekian terimakasih,5,positif
Soal placement yang EN ID ada inappropriate menurutku yaitu kalimat Ayah meninggal di bulan Agustus Mungkin beberapa orang nggak bakal triggered tapi sebagian iya Sarannya objek pada itu diganti sama tanaman biar lebih safe aja buat semua,1,negatif
ini game nya bagus bgttt aku sk sama sih trus ya tuh mengasah bgtt dan bisa berteman juga omg disini belajar bahasa macam pokoknya yang tau ada Inggris Jepang china dll masih bnyk bgt bhs gampang cara mainnya nih contoh kamu main klo menang dpt xp 10 20 sekali mudahkan yuk buruan download Duolingo cocok banget buat mau tp gak susah atau yg gbt,5,positif
Layanannya bagus dan tidak terlalu rumit untuk menjalankan aplikasi nya saya kasih rating 5 karena ya memang Dan jangan lupa pengguna itu bisa merubah sudut pandang orang yg ingin mencoba aplikasinya juga hahahahaha pokoknya salah Udah aja,5,positif
Aplikasinya sih bagus tapi terkadang gambarnya hilang jadi hatinya cepat habis hanya duolingo yang seru untuk belajar bahasa aku juga kesal ada beberapa cerita di hapus oleh apalagi unsur LGBT dan akun ku dihapus sama kesel terus XP nggak naik katanya udah maju liga ternyata,2,negatif
Bagus bgt aku jd lumayan bisa bhs Jepang trs klo menurut belajar disini lebih seru di apk lain nya pusing gk tau mau ngomong apa lg tp inti ini,5,positif
